title,description,position,full_name,first_name,last_name,gender,place
Lijst 13 - Nederland Lokaal,,25,C.H.A. van Pelt,Kees,van Pelt,m,Hoogvliet Rotterdam
Lijst 13 - Nederland Lokaal,,26,E.R. Arnold,Ed,Arnold,m,Rotterdam
Lijst 13 - Nederland Lokaal,,27,J.P.E.M. Hageman,Jean-Paul,Hageman,m,Vogelwaarde
Lijst 13 - Nederland Lokaal,,28,E.W.J.B.I. Kraak,Emma,Kraak,v,Kortgene
Lijst 13 - Nederland Lokaal,,29,A.J. Schouwenaar,Jos,Schouwenaar,m,Wemeldinge
Lijst 13 - Nederland Lokaal,,30,J.G. Ooms,Jan,Ooms,m,Steenbergen
Lijst 13 - Nederland Lokaal,,31,L.H. van der Kallen,Louis,van der Kallen,m,Bergen op Zoom
Lijst 13 - Nederland Lokaal,,32,M.P.J. Rieter,Michael,Rieter,m,Helmond
Lijst 13 - Nederland Lokaal,,33,E.M. Abbou,Mostafa,Abbou,m,Eindhoven
Lijst 13 - Nederland Lokaal,,34,H.C.A. Verouden-Berens,Henriëtte,Verouden-Berens,v,Helmond
Lijst 13 - Nederland Lokaal,,35,E.M.H.H. Arkenbosch,Maan,Arkenbosch,m,Ittervoort
Lijst 13 - Nederland Lokaal,,36,E.K. Ramdani,Khalid,Ramdani,m,Roermond
Lijst 13 - Nederland Lokaal,,37,B.G. Euser,Bert,Euser,m,Rhoon
Lijst 13 - Nederland Lokaal,,1,A.J. Schijvenaars,Ton,Schijvenaars,m,Roosendaal
Lijst 13 - Nederland Lokaal,,2,R.A. Kraaijenbrink,René,Kraaijenbrink,m,Zuidlaarderveen
Lijst 13 - Nederland Lokaal,,3,C.H. Kloos,Casper,Kloos,m,Vries
Lijst 13 - Nederland Lokaal,,4,M.J. Sloot,Mariska,Sloot,v,Haren (Gn)
Lijst 13 - Nederland Lokaal,,5,S.H.H. Schreuder,Sonja,Schreuder,v,Blijham
Lijst 13 - Nederland Lokaal,,6,Y. van der Velde,Ytsen,van der Velde,m,Opende
Lijst 13 - Nederland Lokaal,,7,T.J.G. Tuithof,Dirk,Tuithof,m,Bontebok
Lijst 13 - Nederland Lokaal,,8,S. de Boer,Sierd,de Boer,m,Appelscha
Lijst 13 - Nederland Lokaal,,9,F. de Groot,Fred,de Groot,m,Opeinde
Lijst 13 - Nederland Lokaal,,10,A.J.P. van Vlaanderen,Peter,van Vlaanderen,m,Haaksbergen
Lijst 13 - Nederland Lokaal,,11,A. Holtland,Albert,Holtland,m,IJsselmuiden
Lijst 13 - Nederland Lokaal,,12,H.W. Mekelenkamp,Hein,Mekelenkamp,m,Nieuwleusen
Lijst 13 - Nederland Lokaal,,13,H.A. van Assem,Hendrie,van Assem,m,Woerden
Lijst 13 - Nederland Lokaal,,14,D.L. Willink,Dirk,Willink,m,Winterswijk Woold
Lijst 13 - Nederland Lokaal,,15,G.H.H. Kox,Gerard,Kox,m,'t Harde
Lijst 13 - Nederland Lokaal,,16,R.A. de Haan,Ron,de Haan,m,Castricum
Lijst 13 - Nederland Lokaal,,17,T.A.P.H. Valkering,Tijmen,Valkering,m,Heiloo
Lijst 13 - Nederland Lokaal,,18,J.R. Kolenbrander,John,Kolenbrander,m,Heemskerk
Lijst 13 - Nederland Lokaal,,19,J.M. de Koning,Jan,de Koning,m,Gouda
Lijst 13 - Nederland Lokaal,,20,T.H. Schoenmakers,Theo,Schoenmakers,m,Schiedam
Lijst 13 - Nederland Lokaal,,21,L.H. Kaufmann,Hedy,Kaufmann,v,Vlaardingen
Lijst 13 - Nederland Lokaal,,22,M.P. Karczewski,Marek,Karczewski,m,'s-Gravenhage
Lijst 13 - Nederland Lokaal,,23,E.C. van Stuijvenberg,Erik,van Stuijvenberg,m,Nieuwland
Lijst 13 - Nederland Lokaal,,24,T. Meijdam,Teus,Meijdam,m,Leerdam
Lijst 13 - Nederland Lokaal,,25,C.H.A. van Pelt,Kees,van Pelt,m,Hoogvliet Rotterdam
Lijst 13 - Nederland Lokaal,,26,E.R. Arnold,Ed,Arnold,m,Rotterdam
Lijst 13 - Nederland Lokaal,,27,J.P.E.M. Hageman,Jean-Paul,Hageman,m,Vogelwaarde
Lijst 13 - Nederland Lokaal,,28,E.W.J.B.I. Kraak,Emma,Kraak,v,Kortgene
Lijst 13 - Nederland Lokaal,,29,A.J. Schouwenaar,Jos,Schouwenaar,m,Wemeldinge
Lijst 13 - Nederland Lokaal,,30,J.G. Ooms,Jan,Ooms,m,Steenbergen
Lijst 13 - Nederland Lokaal,,31,L.H. van der Kallen,Louis,van der Kallen,m,Bergen op Zoom
Lijst 13 - Nederland Lokaal,,32,M.P.J. Rieter,Michael,Rieter,m,Helmond
Lijst 13 - Nederland Lokaal,,33,E.M. Abbou,Mostafa,Abbou,m,Eindhoven
Lijst 13 - Nederland Lokaal,,34,H.C.A. Verouden-Berens,Henriëtte,Verouden-Berens,v,Helmond
Lijst 13 - Nederland Lokaal,,35,E.M.H.H. Arkenbosch,Maan,Arkenbosch,m,Ittervoort
Lijst 13 - Nederland Lokaal,,36,E.K. Ramdani,Khalid,Ramdani,m,Roermond
Lijst 13 - Nederland Lokaal,,37,B.G. Euser,Bert,Euser,m,Rhoon
Lijst 13 - Nederland Lokaal,,1,A.J. Schijvenaars,Ton,Schijvenaars,m,Roosendaal
Lijst 13 - Nederland Lokaal,,2,A.J.P. van Vlaanderen,Peter,van Vlaanderen,m,Haaksbergen
Lijst 13 - Nederland Lokaal,,3,A. Holtland,Albert,Holtland,m,IJsselmuiden
Lijst 13 - Nederland Lokaal,,4,H.W. Mekelenkamp,Hein,Mekelenkamp,m,Nieuwleusen
Lijst 13 - Nederland Lokaal,,5,T.J.G. Tuithof,Dirk,Tuithof,m,Bontebok
Lijst 13 - Nederland Lokaal,,6,S. de Boer,Sierd,de Boer,m,Appelscha
Lijst 13 - Nederland Lokaal,,7,F. de Groot,Fred,de Groot,m,Opeinde
Lijst 13 - Nederland Lokaal,,8,M.J. Sloot,Mariska,Sloot,v,Haren (Gn)
Lijst 13 - Nederland Lokaal,,9,S.H.H. Schreuder,Sonja,Schreuder,v,Blijham
Lijst 13 - Nederland Lokaal,,10,Y. van der Velde,Ytsen,van der Velde,m,Opende
Lijst 13 - Nederland Lokaal,,11,R.A. Kraaijenbrink,René,Kraaijenbrink,m,Zuidlaarderveen
Lijst 13 - Nederland Lokaal,,12,C.H. Kloos,Casper,Kloos,m,Vries
Lijst 13 - Nederland Lokaal,,13,D.L. Willink,Dirk,Willink,m,Winterswijk Woold
Lijst 13 - Nederland Lokaal,,14,G.H.H. Kox,Gerard,Kox,m,'t Harde
Lijst 13 - Nederland Lokaal,,15,R.A. de Haan,Ron,de Haan,m,Castricum
Lijst 13 - Nederland Lokaal,,16,T.A.P.H. Valkering,Tijmen,Valkering,m,Heiloo
Lijst 13 - Nederland Lokaal,,17,H.A. van Assem,Hendrie,van Assem,m,Woerden
Lijst 13 - Nederland Lokaal,,18,J.R. Kolenbrander,John,Kolenbrander,m,Heemskerk
Lijst 13 - Nederland Lokaal,,19,J.M. de Koning,Jan,de Koning,m,Gouda
Lijst 13 - Nederland Lokaal,,20,T.H. Schoenmakers,Theo,Schoenmakers,m,Schiedam
Lijst 13 - Nederland Lokaal,,21,M.P. Karczewski,Marek,Karczewski,m,'s-Gravenhage
Lijst 13 - Nederland Lokaal,,22,L.H. Kaufmann,Hedy,Kaufmann,v,Vlaardingen
Lijst 13 - Nederland Lokaal,,23,E.C. van Stuijvenberg,Erik,van Stuijvenberg,m,Nieuwland
Lijst 13 - Nederland Lokaal,,24,T. Meijdam,Teus,Meijdam,m,Leerdam
Lijst 13 - Nederland Lokaal,,25,C.H.A. van Pelt,Kees,van Pelt,m,Hoogvliet Rotterdam
Lijst 13 - Nederland Lokaal,,26,E.R. Arnold,Ed,Arnold,m,Rotterdam
Lijst 13 - Nederland Lokaal,,27,J.P.E.M. Hageman,Jean-Paul,Hageman,m,Vogelwaarde
Lijst 13 - Nederland Lokaal,,28,E.W.J.B.I. Kraak,Emma,Kraak,v,Kortgene
Lijst 13 - Nederland Lokaal,,29,A.J. Schouwenaar,Jos,Schouwenaar,m,Wemeldinge
Lijst 13 - Nederland Lokaal,,30,J.G. Ooms,Jan,Ooms,m,Steenbergen
Lijst 13 - Nederland Lokaal,,31,L.H. van der Kallen,Louis,van der Kallen,m,Bergen op Zoom
Lijst 13 - Nederland Lokaal,,32,M.P.J. Rieter,Michael,Rieter,m,Helmond
Lijst 13 - Nederland Lokaal,,33,E.M. Abbou,Mostafa,Abbou,m,Eindhoven
Lijst 13 - Nederland Lokaal,,34,H.C.A. Verouden-Berens,Henriëtte,Verouden-Berens,v,Helmond
Lijst 13 - Nederland Lokaal,,35,E.M.H.H. Arkenbosch,Maan,Arkenbosch,m,Ittervoort
Lijst 13 - Nederland Lokaal,,36,E.K. Ramdani,Khalid,Ramdani,m,Roermond
Lijst 13 - Nederland Lokaal,,37,B.G. Euser,Bert,Euser,m,Rhoon
Lijst 13 - Nederland Lokaal,,1,A.J. Schijvenaars,Ton,Schijvenaars,m,Roosendaal
Lijst 13 - Nederland Lokaal,,2,R.A. de Haan,Ron,de Haan,m,Castricum
Lijst 13 - Nederland Lokaal,,3,T.A.P.H. Valkering,Tijmen,Valkering,m,Heiloo
Lijst 13 - Nederland Lokaal,,4,T.J.G. Tuithof,Dirk,Tuithof,m,Bontebok
Lijst 13 - Nederland Lokaal,,5,S. de Boer,Sierd,de Boer,m,Appelscha
Lijst 13 - Nederland Lokaal,,6,F. de Groot,Fred,de Groot,m,Opeinde
Lijst 13 - Nederland Lokaal,,7,M.J. Sloot,Mariska,Sloot,v,Haren (Gn)
Lijst 13 - Nederland Lokaal,,8,S.H.H. Schreuder,Sonja,Schreuder,v,Blijham
Lijst 13 - Nederland Lokaal,,9,Y. van der Velde,Ytsen,van der Velde,m,Opende
Lijst 13 - Nederland Lokaal,,10,R.A. Kraaijenbrink,René,Kraaijenbrink,m,Zuidlaarderveen
Lijst 13 - Nederland Lokaal,,11,C.H. Kloos,Casper,Kloos,m,Vries
Lijst 13 - Nederland Lokaal,,12,A.J.P. van Vlaanderen,Peter,van Vlaanderen,m,Haaksbergen
Lijst 13 - Nederland Lokaal,,13,A. Holtland,Albert,Holtland,m,IJsselmuiden
Lijst 13 - Nederland Lokaal,,14,H.W. Mekelenkamp,Hein,Mekelenkamp,m,Nieuwleusen
Lijst 13 - Nederland Lokaal,,15,D.L. Willink,Dirk,Willink,m,Winterswijk Woold
Lijst 13 - Nederland Lokaal,,16,G.H.H. Kox,Gerard,Kox,m,'t Harde
Lijst 13 - Nederland Lokaal,,17,H.A. van Assem,Hendrie,van Assem,m,Woerden
Lijst 13 - Nederland Lokaal,,18,J.R. Kolenbrander,John,Kolenbrander,m,Heemskerk
Lijst 13 - Nederland Lokaal,,19,J.M. de Koning,Jan,de Koning,m,Gouda
Lijst 13 - Nederland Lokaal,,20,T.H. Schoenmakers,Theo,Schoenmakers,m,Schiedam
Lijst 13 - Nederland Lokaal,,21,L.H. Kaufmann,Hedy,Kaufmann,v,Vlaardingen
Lijst 13 - Nederland Lokaal,,22,M.P. Karczewski,Marek,Karczewski,m,'s-Gravenhage
Lijst 13 - Nederland Lokaal,,23,E.C. van Stuijvenberg,Erik,van Stuijvenberg,m,Nieuwland
Lijst 13 - Nederland Lokaal,,24,T. Meijdam,Teus,Meijdam,m,Leerdam
Lijst 13 - Nederland Lokaal,,25,C.H.A. van Pelt,Kees,van Pelt,m,Hoogvliet Rotterdam
Lijst 13 - Nederland Lokaal,,26,E.R. Arnold,Ed,Arnold,m,Rotterdam
Lijst 13 - Nederland Lokaal,,27,J.P.E.M. Hageman,Jean-Paul,Hageman,m,Vogelwaarde
Lijst 13 - Nederland Lokaal,,28,E.W.J.B.I. Kraak,Emma,Kraak,v,Kortgene
Lijst 13 - Nederland Lokaal,,29,A.J. Schouwenaar,Jos,Schouwenaar,m,Wemeldinge
Lijst 13 - Nederland Lokaal,,30,J.G. Ooms,Jan,Ooms,m,Steenbergen
Lijst 13 - Nederland Lokaal,,31,L.H. van der Kallen,Louis,van der Kallen,m,Bergen op Zoom
Lijst 13 - Nederland Lokaal,,32,M.P.J. Rieter,Michael,Rieter,m,Helmond
Lijst 13 - Nederland Lokaal,,33,E.M. Abbou,Mostafa,Abbou,m,Eindhoven
Lijst 13 - Nederland Lokaal,,34,H.C.A. Verouden-Berens,Henriëtte,Verouden-Berens,v,Helmond
Lijst 13 - Nederland Lokaal,,35,E.M.H.H. Arkenbosch,Maan,Arkenbosch,m,Ittervoort
Lijst 13 - Nederland Lokaal,,36,E.K. Ramdani,Khalid,Ramdani,m,Roermond
Lijst 13 - Nederland Lokaal,,37,B.G. Euser,Bert,Euser,m,Rhoon
Lijst 13 - Nederland Lokaal,,1,A.J. Schijvenaars,Ton,Schijvenaars,m,Roosendaal
Lijst 13 - Nederland Lokaal,,2,D.L. Willink,Dirk,Willink,m,Winterswijk Woold
Lijst 13 - Nederland Lokaal,,3,G.H.H. Kox,Gerard,Kox,m,'t Harde
Lijst 13 - Nederland Lokaal,,4,A.J.P. van Vlaanderen,Peter,van Vlaanderen,m,Haaksbergen
Lijst 13 - Nederland Lokaal,,5,A. Holtland,Albert,Holtland,m,IJsselmuiden
Lijst 13 - Nederland Lokaal,,6,H.W. Mekelenkamp,Hein,Mekelenkamp,m,Nieuwleusen
Lijst 13 - Nederland Lokaal,,7,T.H. Schoenmakers,Theo,Schoenmakers,m,Schiedam
Lijst 13 - Nederland Lokaal,,8,L.H. Kaufmann,Hedy,Kaufmann,v,Vlaardingen
Lijst 13 - Nederland Lokaal,,9,E.C. van Stuijvenberg,Erik,van Stuijvenberg,m,Nieuwland
Lijst 13 - Nederland Lokaal,,10,T. Meijdam,Teus,Meijdam,m,Leerdam
Lijst 13 - Nederland Lokaal,,11,C.H.A. van Pelt,Kees,van Pelt,m,Hoogvliet Rotterdam
Lijst 13 - Nederland Lokaal,,12,E.R. Arnold,Ed,Arnold,m,Rotterdam
Lijst 13 - Nederland Lokaal,,13,J.M. de Koning,Jan,de Koning,m,Gouda
Lijst 13 - Nederland Lokaal,,14,M.P. Karczewski,Marek,Karczewski,m,'s-Gravenhage
Lijst 13 - Nederland Lokaal,,15,H.A. van Assem,Hendrie,van Assem,m,Woerden
Lijst 13 - Nederland Lokaal,,16,J.R. Kolenbrander,John,Kolenbrander,m,Heemskerk
Lijst 13 - Nederland Lokaal,,17,R.A. de Haan,Ron,de Haan,m,Castricum
Lijst 13 - Nederland Lokaal,,18,T.A.P.H. Valkering,Tijmen,Valkering,m,Heiloo
Lijst 13 - Nederland Lokaal,,19,T.J.G. Tuithof,Dirk,Tuithof,m,Bontebok
Lijst 13 - Nederland Lokaal,,20,S. de Boer,Sierd,de Boer,m,Appelscha
Lijst 13 - Nederland Lokaal,,21,F. de Groot,Fred,de Groot,m,Opeinde
Lijst 13 - Nederland Lokaal,,22,M.P.J. Rieter,Michael,Rieter,m,Helmond
Lijst 13 - Nederland Lokaal,,23,E.M. Abbou,Mostafa,Abbou,m,Eindhoven
Lijst 13 - Nederland Lokaal,,24,H.C.A. Verouden-Berens,Henriëtte,Verouden-Berens,v,Helmond
Lijst 13 - Nederland Lokaal,,25,J.G. Ooms,Jan,Ooms,m,Steenbergen
Lijst 13 - Nederland Lokaal,,26,L.H. van der Kallen,Louis,van der Kallen,m,Bergen op Zoom
Lijst 13 - Nederland Lokaal,,27,J.P.E.M. Hageman,Jean-Paul,Hageman,m,Vogelwaarde
Lijst 13 - Nederland Lokaal,,28,E.W.J.B.I. Kraak,Emma,Kraak,v,Kortgene
Lijst 13 - Nederland Lokaal,,29,A.J. Schouwenaar,Jos,Schouwenaar,m,Wemeldinge
Lijst 13 - Nederland Lokaal,,30,M.J. Sloot,Mariska,Sloot,v,Haren (Gn)
Lijst 13 - Nederland Lokaal,,31,S.H.H. Schreuder,Sonja,Schreuder,v,Blijham
Lijst 13 - Nederland Lokaal,,32,Y. van der Velde,Ytsen,van der Velde,m,Opende
Lijst 13 - Nederland Lokaal,,33,R.A. Kraaijenbrink,René,Kraaijenbrink,m,Zuidlaarderveen
Lijst 13 - Nederland Lokaal,,34,C.H. Kloos,Casper,Kloos,m,Vries
Lijst 13 - Nederland Lokaal,,35,E.M.H.H. Arkenbosch,Maan,Arkenbosch,m,Ittervoort
Lijst 13 - Nederland Lokaal,,36,E.K. Ramdani,Khalid,Ramdani,m,Roermond
Lijst 13 - Nederland Lokaal,,37,B.G. Euser,Bert,Euser,m,Rhoon
Lijst 13 - Nederland Lokaal,,1,A.J. Schijvenaars,Ton,Schijvenaars,m,Roosendaal
Lijst 13 - Nederland Lokaal,,2,D.L. Willink,Dirk,Willink,m,Winterswijk Woold
Lijst 13 - Nederland Lokaal,,3,G.H.H. Kox,Gerard,Kox,m,'t Harde
Lijst 13 - Nederland Lokaal,,4,A.J.P. van Vlaanderen,Peter,van Vlaanderen,m,Haaksbergen
Lijst 13 - Nederland Lokaal,,5,A. Holtland,Albert,Holtland,m,IJsselmuiden
Lijst 13 - Nederland Lokaal,,6,H.W. Mekelenkamp,Hein,Mekelenkamp,m,Nieuwleusen
Lijst 13 - Nederland Lokaal,,7,H.A. van Assem,Hendrie,van Assem,m,Woerden
Lijst 13 - Nederland Lokaal,,8,T.H. Schoenmakers,Theo,Schoenmakers,m,Schiedam
Lijst 13 - Nederland Lokaal,,9,L.H. Kaufmann,Hedy,Kaufmann,v,Vlaardingen
Lijst 13 - Nederland Lokaal,,10,E.C. van Stuijvenberg,Erik,van Stuijvenberg,m,Nieuwland
Lijst 13 - Nederland Lokaal,,11,T. Meijdam,Teus,Meijdam,m,Leerdam
Lijst 13 - Nederland Lokaal,,12,C.H.A. van Pelt,Kees,van Pelt,m,Hoogvliet Rotterdam
Lijst 13 - Nederland Lokaal,,13,E.R. Arnold,Ed,Arnold,m,Rotterdam
Lijst 13 - Nederland Lokaal,,14,J.M. de Koning,Jan,de Koning,m,Gouda
Lijst 13 - Nederland Lokaal,,15,M.P. Karczewski,Marek,Karczewski,m,'s-Gravenhage
Lijst 13 - Nederland Lokaal,,16,J.R. Kolenbrander,John,Kolenbrander,m,Heemskerk
Lijst 13 - Nederland Lokaal,,17,R.A. de Haan,Ron,de Haan,m,Castricum
Lijst 13 - Nederland Lokaal,,18,T.A.P.H. Valkering,Tijmen,Valkering,m,Heiloo
Lijst 13 - Nederland Lokaal,,19,T.J.G. Tuithof,Dirk,Tuithof,m,Bontebok
