title,description,position,full_name,first_name,last_name,gender,place
Lijst_4 CDA,,1,A.W. Bom-Lemstra,Adri,Bom-Lemstra,v,Wateringen
Lijst_4 CDA,,2,P.J.H.D. Verkoelen,Ellen,Verkoelen,v,Rotterdam
Lijst_4 CDA,,3,M. Stolk,Meindert,Stolk,m,Wassenaar
Lijst_4 CDA,,4,P.J. Rijken,Paul,Rijken,m,Westmaas
Lijst_4 CDA,,5,M. Kip,Marischa,Kip,v,'s-Gravenhage
Lijst_4 CDA,,6,H.S. van der Bent,Herman,van der Bent,m,'s-Gravenhage
Lijst_4 CDA,,7,M. Çetin,Muzaffer,Çetin,m,Rotterdam
Lijst_4 CDA,,8,M.A.C. de Haan,Maurits,de Haan,m,Sliedrecht
Lijst_4 CDA,,9,J.W. Ravensbergen,Jeroen,Ravensbergen,m,Rijnsburg
Lijst_4 CDA,,10,J. Kastelein,Jaco,Kastelein,m,Bodegraven
Lijst_4 CDA,,11,M.P.J. de Veld-van Hassel,Monique,de Veld-van Hassel,v,Nootdorp
Lijst_4 CDA,,12,G. Bikker-Trouwborst,Gerdien,Bikker-Trouwborst,v,Lexmond
Lijst_4 CDA,,13,A. van den Berg,Arie,van den Berg,m,Schipluiden
Lijst_4 CDA,,14,P.M. Kleijbeuker,Pauline,Kleijbeuker,v,Rijswijk
Lijst_4 CDA,,15,T.C. Edel,Theo,Edel,m,Nieuwerkerk aan den IJssel
Lijst_4 CDA,,16,W. Zhou,Atom,Zhou,m,'s-Gravenhage
Lijst_4 CDA,,17,C.H.M. Zwinkels-van den Broek,Ineke,Zwinkels-van den Broek,v,Monster
Lijst_4 CDA,,18,T.S.F. Buijs,Frank,Buijs,m,Berkel en Rodenrijs
Lijst_4 CDA,,19,P.W.H. Fasol,Peter,Fasol,m,Gouda
Lijst_4 CDA,,20,T.J.J. Schmitz,Theo,Schmitz,m,Voorburg
Lijst_4 CDA,,21,C.M.P. 't Hart,Marcel,'t Hart,m,Maassluis
Lijst_4 CDA,,22,G.P.W. Dupont,Gijs,Dupont,m,'s-Gravenhage
Lijst_4 CDA,,23,P. Verboom,Pieter,Verboom,m,Bergambacht
Lijst_4 CDA,,24,A.J.D. Vis,Arrie,Vis,m,Rotterdam
Lijst_4 CDA,,25,R. Vrugt,René,Vrugt,m,Alphen aan den Rijn
Lijst_4 CDA,,26,W. de Ruiter,Wim,de Ruiter,m,Hardinxveld-Giessendam
Lijst_4 CDA,,27,A.C. de Fonkert,Marco,de Fonkert,m,Strijen
Lijst_4 CDA,,28,C.J. van Toornburg,Han,van Toornburg,m,Poortugaal
Lijst_4 CDA,,29,A. Keizerwaard,Bram,Keizerwaard,m,Vlaardingen
Lijst_4 CDA,,30,W.G.J.M. van de Camp,Wim,van de Camp,m,'s-Gravenhage
Lijst_4 CDA,,31,W.J. Stolte,Wilbert,Stolte,m,'s-Gravenhage
Lijst_4 CDA,,32,P.J.L. den Dulk,Pieter,den Dulk,m,'s-Gravenhage
Lijst_4 CDA,,33,F.A.M. van den Heuvel,Frank,van den Heuvel,m,'s-Gravenhage
Lijst_4 CDA,,34,J.M.J.F. Doll-Gras,Jeannette,Doll-Gras,v,'s-Gravenhage
Lijst_4 CDA,,35,H. Franken,Hans,Franken,m,'s-Gravenhage
Lijst_4 CDA,,36,E.M.R. de Lange,Esther,de Lange,v,Driebruggen
Lijst_4 CDA,,37,J.M. de Vries,Jan,de Vries,m,Goudriaan
Lijst_4 CDA,,38,P.J.J. van Geest,Paul,van Geest,m,Berkel en Rodenrijs
Lijst_4 CDA,,39,J. Slagter,Jan,Slagter,m,Zoetermeer
